name;season;region;nbGames;winRate;KD;GPM;GDM;gameDuration;killsPerGame;deathsPerGame;towersKilled;towersLost;FB;FT;drapG;DRA;HERPG;HER;DRA15;TD15;GD15;PPG;NASHPG;NASH;CSM;DPM;WPM;VWPM;WCPM
Invictus Gaming;S6;CN;84;42.9%;0.99;1782;-27;34:56:00;12.8;13.1;5.7;6.5;-;-;1.56;44.3;-;-;-;-;-;-;-;-;29.7;-;-;-;-
J Team;S6;TW;8;25.0%;0.68;1679;-146;43:28:00;8.3;12.1;4.0;8.4;37.5;12.5;0.88;23.3;0.00;0.0;0.38;-0.6;-1930;-;0.75;45.2;31.7;2066;3.8;0.82;1.56
Jin Air Green Wings;S6;KR;98;48.0%;1.01;1730;-59;41:45:00;9.7;9.6;6.1;6.9;45.9;53.1;2.21;47.8;0.42;47.2;0.55;0.0;10;-;0.77;44.0;30.5;1839;3.7;0.87;1.66
Kaos Latin Gamers;S6;WC;7;14.3%;0.53;1642;-345;38:26:00;11.1;20.9;2.7;10.1;57.1;14.3;1.29;29.8;0.00;0.0;0.57;-0.1;-1042;-;0.14;7.1;29.8;2255;3.7;0.84;1.12
Kongdoo Monster;S6;KR;53;26.4%;0.65;1682;-184;39:28:00;8.2;12.7;4.7;7.7;43.4;50.9;2.15;47.0;0.49;35.6;0.49;-0.1;-611;-;0.51;33.0;30.3;1819;3.6;0.73;1.55
KT Rolster;S6;KR;108;63.0%;1.27;1821;78;38:32:00;13.4;10.5;6.9;5.4;57.4;55.6;2.20;55.1;0.65;62.2;0.47;0.1;305;-;0.69;53.2;30.7;2058;3.6;0.82;1.67
LGD Gaming;S6;CN;77;48.1%;0.88;1782;-33;35:57:00;12.8;14.5;5.9;6.2;-;-;1.70;45.6;-;-;-;-;-;-;-;-;30.1;-;-;-;-
Liquid A;S6;NA;5;40.0%;1.10;1725;-49;34:27:00;11.0;10.0;5.8;7.4;60.0;20.0;1.40;43.3;0.20;33.3;0.40;-0.4;-323;-;0.40;50.0;28.4;2147;3.5;0.58;1.00
Longzhu Gaming;S6;KR;88;44.3%;1.00;1781;15;39:30:00;10.1;10.1;6.6;6.5;56.8;44.3;2.06;48.9;0.55;54.1;0.48;0.2;412;-;0.81;53.1;30.8;1968;3.7;0.83;1.61
Lyon Gaming;S6;WC;12;66.7%;1.66;1853;155;36:57:00;14.1;8.5;7.2;4.7;50.0;66.7;2.25;63.8;0.33;66.7;0.42;0.2;1278;-;0.83;68.2;31.8;2010;3.6;0.85;1.38
Machi eSports;S6;TW;16;37.5%;0.62;1693;-100;38:43:00;7.4;11.9;5.1;6.4;25.0;56.3;1.56;44.5;0.56;64.6;0.44;-0.1;-489;-;0.44;34.7;30.7;1769;3.8;0.84;1.68
Master3;S6;CN;36;25.0%;0.59;1657;-250;35:16:00;8.8;15.0;3.9;7.8;-;-;1.53;37.7;-;-;-;-;-;-;-;-;29.9;-;-;-;-
Millenium;S6;EUW;5;40.0%;1.03;1787;-42;39:45:00;15.0;14.6;7.0;7.4;60.0;20.0;1.80;45.3;0.60;75.0;0.40;-0.6;-568;-;0.40;30.0;30.1;2401;3.4;0.51;1.26
Misfits;S6;EUW;9;55.6%;1.29;1825;104;37:51:00;12.0;9.2;6.1;5.8;55.6;44.4;1.67;42.6;0.44;66.7;0.22;-0.4;125;-;0.89;61.1;31.8;1997;3.7;0.79;1.55
MVP;S6;KR;45;46.7%;0.88;1753;-50;36:33:00;10.8;12.3;5.9;6.6;48.9;35.6;2.04;48.6;0.27;36.5;0.64;-0.3;-763;-;0.91;50.4;29.5;2053;3.5;0.70;1.36
NewBee;S6;CN;39;33.3%;0.80;1735;-152;39:47:00;13.6;17.1;5.3;7.9;-;-;1.74;42.6;-;-;-;-;-;-;-;-;29.0;-;-;-;-
NRG eSports;S6;NA;69;31.9%;0.74;1658;-187;35:45:00;10.0;13.4;5.0;8.1;43.5;31.9;1.22;32.7;0.32;35.8;0.41;-0.4;-948;-;0.61;39.4;27.7;1905;3.0;0.61;1.22
OMG;S6;CN;78;39.7%;0.94;1775;-52;38:23:00;14.2;15.1;6.1;6.7;-;-;1.90;46.6;-;-;-;-;-;-;-;-;29.3;-;-;-;-
